Dec(J2000) deg,Types,RUN,DCG,imag,e_imag,J,eJ,H,eH,Ks,eKs,IRAC1,e_IRAC1,IRAC2,e_IRAC2,IRAC3,e_IRAC3,IRAC4,e_IRAC4,WISE1,e_WISE1,WISE2,e_WISE2,WISE3,e_WISE3,WISE4,e_WISE4,VmagLGGS,e_VmagLGGS,BmagLGGS,RmagLGSS,ImagLGSS,Flux_imag,Flambda_imag,err_Flambda_imag,lambda_imag,err_lambda_imag,err_Flambda_prime_imag,Flux_J,Flambda_J,err_Flambda_J,lambda_J,err_lambda_J,err_Flambda_prime_J,Flux_H,Flambda_H,err_Flambda_H,lambda_H,err_lambda_H,err_Flambda_prime_H,Flux_Ks,Flambda_Ks,err_Flambda_Ks,lambda_Ks,err_lambda_Ks,err_Flambda_prime_Ks,Flux_IRAC1,Flambda_IRAC1,err_Flambda_IRAC1,lambda_IRAC1,err_lambda_IRAC1,err_Flambda_prime_IRAC1,Flux_IRAC2,Flambda_IRAC2,err_Flambda_IRAC2,lambda_IRAC2,err_lambda_IRAC2,err_Flambda_prime_IRAC2,Flux_IRAC3,Flambda_IRAC3,err_Flambda_IRAC3,lambda_IRAC3,err_lambda_IRAC3,err_Flambda_prime_IRAC3,Flux_IRAC4,Flambda_IRAC4,err_Flambda_IRAC4,lambda_IRAC4,err_lambda_IRAC4,err_Flambda_prime_IRAC4,Flux_WISE1,Flambda_WISE1,err_Flambda_WISE1,lambda_WISE1,err_lambda_WISE1,err_Flambda_prime_WISE1,Flux_WISE2,Flambda_WISE2,err_Flambda_WISE2,lambda_WISE2,err_lambda_WISE2,err_Flambda_prime_WISE2,Flux_WISE3,Flambda_WISE3,err_Flambda_WISE3,lambda_WISE3,err_lambda_WISE3,err_Flambda_prime_WISE3,Flux_WISE4,Flambda_WISE4,err_Flambda_WISE4,lambda_WISE4,err_lambda_WISE4,err_Flambda_prime_WISE4,f_scale_c,f_scale_o,J-Ks,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt
-14.79789,C,C,0.007527848,19.719,0.016,17.05,89.99,16.52,89.99,16.15,89.99,15.82,0.05,15.79,0.04,15.53,0.06,14.66,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,4.93378953592521e-05,1.9735158143700799e-16,3.42418150565305e-17,0.75,0.12533,0.0694855611594267,0.0002412616630007,5.79027991201756e-16,89.99,1.25,0.214914,89.99,0.0002820330192218,5.09698227509329e-16,89.99,1.66,0.260965,89.99,0.0002311694581967,3.16670490680416e-16,89.99,2.19,0.278455,89.99,0.0001319932551072,1.09994379256004e-16,2.49067300368045e-17,3.6,0.743171,0.0886450277393376,8.68056667265472e-05,5.78704444843648e-17,1.3910537362385902e-17,4.5,1.009682,0.0935525764246989,7.05826305939514e-05,3.6508257203768e-17,9.633075040313319e-18,5.8,1.391189,0.101699028291126,8.87656007811706e-05,3.3287100292939e-17,1.3244841506147101e-17,8,2.831177,0.145475211689508,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,6.5e-16,89.99,0.9000000000000021,0.24170000000000014,1.7446165981330146,9.0478934,1116589141.1163242,5.3512826667130415,224534.28614900564
-14.79337,LPV,C/O,0.008392115,21.033,0.02,18.55,89.99,17.25,89.99,15.246679999999998,89.99,14.19,0.05,13.55,0.04,13.13,0.05,12.66,0.04,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,22.307,0.128,23.912,21.545,20.521,1.4708914365982e-05,5.88356574639282e-17,1.03025158596502e-17,0.75,0.12533,0.0700772901330176,6.06021897734975e-05,1.45445255456394e-16,89.99,1.25,0.214914,89.99,0.0001439792664709,2.60203493622115e-16,89.99,1.66,0.260965,89.99,0.0003019468165217,4.13625776057184e-16,89.99,2.19,0.278455,89.99,0.0005923136473162,4.93594706096884e-16,1.11767802823251e-16,3.6,0.743171,0.0886450277393358,0.000683200345188,4.55466896792032e-16,1.0948229863462199e-16,4.5,1.009682,0.0935525764246972,0.0006437212417193,3.32959262958298e-16,8.652285147911281e-17,5.8,1.391189,0.100322346927969,0.0005600730775007,2.10027404062786e-16,7.7688532934038e-17,8,2.831177,0.136687954220365,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,8.4e-16,2.5e-15,1.0759999999999987,0.36355192000000014,2.3096805652298067,8.719136919839999,523765537.90114164,5.3275619540070736,212599.36058710061
-14.80191,RSG,C/O,0.003049459,16.393,0.006,14.280000000000001,89.99,13.66,89.99,13.27,89.99,13.3,0.06,13.09,0.05,12.76,0.03,12.48,0.04,12.951,0.032,12.921,0.036,11.7,89.99,8.647,89.99,18.559,0.003,20.561,17.347,16.098,0.0010557974762701,4.22318990508051e-15,7.158588435105129e-16,0.75,0.12533,0.0680027018085259,0.0030937720888828,7.425053013318921e-15,89.99,1.25,0.214914,89.99,0.0039291621938409,7.100895531037831e-15,89.99,1.66,0.260965,89.99,0.0032804275843882,4.4937364169701905e-15,89.99,2.19,0.278455,89.99,0.0013444719293342,1.1203932744452401e-15,2.58179380298559e-16,3.6,0.743171,0.0900591664592731,0.0010436336582858,6.95755772190532e-16,1.70024466460895e-16,4.5,1.009682,0.0949508508082477,0.0009051026581493,4.68156547318636e-16,1.17909988724318e-16,5.8,1.391189,0.0975558226919659,0.0006610658108471,2.47899679067671e-16,9.16973785755541e-17,8,2.831177,0.136687954220367,0.0020432277497544,1.8199772117765603e-15,3.66861258015922e-16,3.368,0.635793,0.0797507550337695,0.0011657093917471,7.57281978181362e-16,1.92488386427303e-16,4.618,1.107319,0.0983609927060058,0.0006617636564867,1.6431807394968799e-16,89.99,12.082,6.275804,89.99,0.0029077836937387,3.93049972119325e-16,89.99,22.194,4.739734,89.99,8.82e-15,1.05e-14,1.0100000000000016,1.14668,14.01780453936504,7.1876500000000005,15404584.897005534,2.932999037777375,857.0359463798757
-14.74652,RSG,C/O,0.056663768,16.311,0.008,13.9,89.99,13.3,89.99,12.92,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,12.527,0.025,12.403,0.024,11.142,0.168,8.192,89.99,17.891,0.004,20.002,16.712,15.562,0.0011386247495292,4.554498998116951e-15,7.75661542705971e-16,0.75,0.12533,0.0682996790024859,0.004390240553121,1.05365773274905e-14,89.99,1.25,0.214914,89.99,0.0054739390402249,9.892660916069251e-15,89.99,1.66,0.260965,89.99,0.0045282506186587,6.203083039258591e-15,89.99,2.19,0.278455,89.99,89.99,89.99,89.99,3.6,0.743171,89.99,89.99,89.99,89.99,4.5,1.009682,89.99,89.99,89.99,89.99,5.8,1.391189,89.99,89.99,89.99,89.99,8,2.831177,89.99,0.0030193730771589,2.6894653300109e-15,5.34597512731113e-16,3.368,0.635793,0.0787375482415236,0.0018784095841331,1.2202747406668302e-15,3.04316067904611e-16,4.618,1.107319,0.0966956755794897,0.0011063764231188,2.74716873808675e-16,1.6115831339320699e-16,12.082,6.275804,0.200476811196248,0.0044214233125109,5.97651164167466e-16,89.99,22.194,4.739734,89.99,1e-14,1.6e-14,0.9800000000000004,1.3840899999999996,24.215308150111117,6.90968943,8122494.575886736,2.8626675640674195,728.8993518850406
-14.802538,C,C,0.010948462,19.993,0.038,17.109,89.99,16.477,89.99,15.882579999999997,89.99,15.66,0.06,15.65,0.07,15.33,0.08,14.93,0.07,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.83336893915339e-05,1.53334757566136e-16,2.79539485360237e-17,0.75,0.12533,0.0727301384462855,0.000228501111556,5.48402667734551e-16,89.99,1.25,0.214914,89.99,0.0002934269210996,5.30289616445238e-16,89.99,1.66,0.260965,89.99,0.0002846626284518,3.89948806098389e-16,89.99,2.19,0.278455,89.99,0.0001529507951834,1.27458995986197e-16,2.93711907664625e-17,3.6,0.743171,0.0900591664592731,9.87524950322152e-05,6.58349966881435e-17,1.66150268241743e-17,4.5,1.009682,0.0977339657752552,8.48589864648467e-05,4.38925792059552e-17,1.1932644150617e-17,5.8,1.391189,0.104439367847696,6.92220882678438e-05,2.59582831004414e-17,9.91339368599467e-18,8,2.831177,0.140475713293021,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,6.9e-16,89.99,1.0759999999999987,0.27170302000000013,1.869403364562453,8.966945252039999,926712992.873714,5.351724688010386,224762.93160757996
-14.7865,C,C,0.021889205,89.99,89.99,17.38,89.99,16.73,89.99,16.39,89.99,16.05,0.05,16.19,0.03,16.64,0.23,15.9,0.11,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,21.616,0.021,23.343,20.388,19.307,89.99,89.99,89.99,0.75,0.12533,89.99,0.0001780280016962,4.27267204070932e-16,89.99,1.25,0.214914,89.99,0.0002324341608329,4.2006173644500597e-16,89.99,1.66,0.260965,89.99,0.0001853234835615,2.53867785700701e-16,89.99,2.19,0.278455,89.99,0.0001067952014264,8.89960011887047e-17,2.01519331347216e-17,3.6,0.743171,0.0886450277393358,6.00548486926926e-05,4.00365657951284e-17,9.46359430624306e-18,4.5,1.009682,0.0921497855475444,2.53920544297173e-05,1.31338212567503e-17,4.3585921867171094e-18,5.8,1.391189,0.124458632088992,2.83298775123868e-05,1.0623704067145e-17,4.2271413051678194e-18,8,2.831177,0.145475211689508,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,4.4e-16,89.99,0.9899999999999984,0.2179399999999999,1.6517335870370005,9.111997879999999,1294189523.873772,5.3299656437097225,213779.29656843204
-14.810474,C,C,0.016865309,19.436,0.016,16.672,89.99,15.96,89.99,15.3338,89.99,15.01,0.05,15.1,0.04,15.04,0.05,14.51,0.06,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,6.402957505448e-05,2.5611830021792003e-16,4.4438232543143905e-17,0.75,0.12533,0.0694855611594285,0.0003417340999561,8.20161839894825e-16,89.99,1.25,0.214914,89.99,0.0004723891963498,8.53715415090051e-16,89.99,1.66,0.260965,89.99,0.0004587018113725,6.283586457158409e-16,89.99,2.19,0.278455,89.99,0.0002783246933203,2.31937244433649e-16,5.2519032078395e-17,3.6,0.743171,0.0886450277393358,0.0001638883478322,1.09258898554838e-16,2.6262974201465402e-17,4.5,1.009682,0.0935525764246972,0.0001108403377167,5.73312091638396e-17,1.48980978980066e-17,5.8,1.391189,0.100322346927967,0.0001019165460012,3.82187047504678e-17,1.4442738646425602e-17,8,2.831177,0.139216793977532,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,9.2e-16,89.99,1.0759999999999987,0.3543171999999999,2.261086619699947,8.7440521944,554692373.0172133,5.327467609716747,212553.1814202335
-14.798083,C,C,0.021732071,20.177,0.044,17.425,89.99,16.616,89.99,15.850819999999999,89.99,15.54,0.05,15.68,0.05,15.31,0.06,14.57,0.08,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.23579216840046e-05,1.29431686736018e-16,2.39068954180541e-17,0.75,0.12533,0.0736108323562643,0.0001708001772548,4.09920425411698e-16,89.99,1.25,0.214914,89.99,0.0002581665413946,4.66566038665083e-16,89.99,1.66,0.260965,89.99,0.0002683678303701,3.67627164890558e-16,89.99,2.19,0.278455,89.99,0.0001708251218591,1.42354268215993e-16,3.22341864377499e-17,3.6,0.743171,0.0886450277393358,9.60612153836357e-05,6.40408102557572e-17,1.56498947341492e-17,4.5,1.009682,0.0949508508082495,8.64366328120935e-05,4.47086031786691e-17,1.17968197431035e-17,5.8,1.391189,0.101699028291126,9.64372231844267e-05,3.616395869416e-17,1.39555676886951e-17,8,2.831177,0.141730993837829,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,5.2e-16,89.99,1.0759999999999987,0.2774515799999999,1.8943123034872917,8.95143563716,894202000.5566583,5.3499341746121205,223838.18445499302
-14.781347,89.99,C,0.020345945,89.99,89.99,17.41,89.99,16.51,89.99,15.693679999999999,89.99,15.34,0.07,15.52,0.05,15.2,0.03,14.99,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,0.75,0.12533,89.99,0.0001731762444045,4.15622986570944e-16,89.99,1.25,0.214914,89.99,0.0002846426386185,5.1441440714196e-16,89.99,1.66,0.260965,89.99,0.0002991785514684,4.0983363214852005e-16,89.99,2.19,0.278455,89.99,0.0002053769685504,1.71147473792077e-16,4.01231957232702e-17,3.6,0.743171,0.0914687154373954,0.0001113135611912,7.42090407941984e-17,1.8134743644143502e-17,4.5,1.009682,0.0949508508082495,9.56528336768072e-05,4.94756036259347e-17,1.24609340595044e-17,5.8,1.391189,0.0975558226919659,6.55005123063768e-05,2.4562692114891302e-17,9.183919964018019e-18,8,2.831177,0.137954214734094,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,7e-16,89.99,1.0759999999999987,0.30589391999999993,2.0225250999450326,8.87469820384,749373280.363922,5.3386197191761005,218081.94868622717
-14.813117,C,C,0.018193452,20.198,0.012,17.12,89.99,16.187,89.99,14.988299999999999,89.99,14.65,0.07,14.79,0.06,14.84,0.05,14.33,0.05,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,89.99,3.17380777379031e-05,1.26952310951612e-16,2.18239486013219e-17,0.75,0.12533,0.0688930248512545,0.0002261977689572,5.42874645497378e-16,89.99,1.25,0.214914,89.99,0.0003832657021345,6.926488592793701e-16,89.99,1.66,0.260965,89.99,0.0005156208317852,7.06329906555159e-16,89.99,2.19,0.278455,89.99,0.0003877499399269,3.23124949939125e-16,7.57522464236314e-17,3.6,0.743171,0.0914687154373972,0.0002180459764285,1.45363984285704e-16,3.61046019298699e-17,4.5,1.009682,0.0963446376879293,0.0001332593959578,6.89272737712963e-17,1.79114532462218e-17,5.8,1.391189,0.100322346927971,0.0001202942023596,4.5110325884858e-17,1.68666211561615e-17,8,2.831177,0.137954214734091,89.99,89.99,89.99,3.368,0.635793,89.99,89.99,89.99,89.99,4.618,1.107319,89.99,89.99,89.99,89.99,12.082,6.275804,89.99,89.99,89.99,89.99,22.194,4.739734,89.99,8.4e-16,89.99,1.0759999999999987,0.39742080000000013,2.497012980508785,8.6374843328,433994606.9803439,5.3425732509388695,220076.2873350021
